iter	Passed	Remaining
0	5	5879
1	10	5347
2	17	5756
3	24	6192
4	30	6163
5	37	6150
6	42	6014
7	44	5509
8	50	5576
9	55	5477
10	60	5470
11	69	5720
12	80	6116
13	89	6327
14	98	6466
15	105	6504
16	111	6423
17	118	6459
18	124	6441
19	131	6447
20	139	6489
21	147	6535
22	153	6518
23	159	6470
24	166	6474
25	171	6437
26	177	6385
27	182	6336
28	188	6294
29	193	6262
30	199	6224
31	204	6179
32	209	6149
33	215	6122
34	221	6102
35	226	6073
36	232	6052
37	238	6027
38	244	6013
39	249	5983
40	254	5954
41	260	5939
42	266	5924
43	271	5898
44	277	5895
45	283	5876
46	288	5849
47	293	5819
48	298	5787
49	303	5758
50	308	5743
51	313	5717
52	318	5689
53	324	5690
54	329	5668
55	335	5655
56	340	5639
57	345	5618
58	351	5598
59	355	5576
60	360	5555
61	366	5543
62	371	5525
63	376	5510
64	382	5495
65	386	5474
66	392	5467
67	397	5447
68	402	5425
69	407	5419
70	413	5408
71	418	5393
72	424	5394
73	429	5378
74	434	5360
75	439	5347
76	444	5329
77	449	5313
78	454	5301
79	460	5297
80	465	5283
81	471	5274
82	476	5260
83	481	5247
84	486	5242
85	492	5231
86	497	5220
87	503	5214
88	508	5199
89	513	5193
90	519	5189
91	524	5180
92	530	5172
93	535	5164
94	540	5151
95	546	5148
96	552	5140
97	557	5134
98	562	5123
99	569	5121
100	574	5113
101	580	5106
102	586	5107
103	592	5102
104	597	5095
105	604	5095
106	610	5091
107	616	5093
108	622	5089
109	627	5080
110	634	5078
111	640	5075
112	645	5068
113	651	5064
114	657	5058
115	662	5046
116	667	5038
117	673	5032
118	679	5029
119	685	5023
120	690	5015
121	695	5008
122	701	5003
123	707	4995
124	711	4982
125	717	4973
126	721	4962
127	726	4948
128	731	4939
129	736	4927
130	741	4915
131	746	4909
132	751	4899
133	756	4887
134	761	4879
135	765	4866
136	770	4852
137	775	4843
138	780	4837
139	785	4824
140	790	4815
141	795	4808
142	800	4795
143	804	4785
144	810	4779
145	814	4766
146	819	4754
147	824	4744
148	829	4735
149	833	4723
150	838	4712
151	842	4701
152	847	4690
153	852	4680
154	856	4670
155	861	4661
156	866	4651
157	870	4640
158	875	4633
159	880	4623
160	885	4613
161	890	4605
162	894	4595
163	899	4582
164	903	4572
165	908	4566
166	913	4556
167	917	4544
168	922	4535
169	926	4525
170	931	4514
171	936	4507
172	941	4498
173	945	4489
174	949	4478
175	955	4473
176	960	4467
177	965	4460
178	970	4451
179	975	4444
180	980	4434
181	984	4426
182	990	4420
183	994	4412
184	999	4403
185	1004	4396
186	1010	4391
187	1015	4384
188	1019	4374
189	1024	4368
190	1029	4362
191	1035	4356
192	1040	4352
193	1046	4345
194	1050	4338
195	1056	4333
196	1061	4327
197	1065	4317
198	1071	4312
199	1076	4305
200	1080	4297
201	1085	4289
202	1091	4285
203	1096	4276
204	1101	4270
205	1106	4264
206	1111	4257
207	1115	4248
208	1122	4247
209	1127	4242
210	1132	4234
211	1137	4227
212	1142	4220
213	1147	4213
214	1151	4205
215	1156	4198
216	1161	4189
217	1165	4182
218	1171	4178
219	1176	4170
220	1180	4161
221	1185	4153
222	1190	4147
223	1194	4138
224	1198	4129
225	1204	4123
226	1208	4115
227	1213	4107
228	1217	4099
229	1223	4096
230	1228	4090
231	1233	4083
232	1239	4078
233	1243	4070
234	1248	4062
235	1253	4056
236	1257	4048
237	1262	4041
238	1266	4033
239	1271	4026
240	1276	4018
241	1281	4013
242	1286	4007
243	1290	3999
244	1295	3992
245	1300	3985
246	1305	3981
247	1311	3976
248	1316	3971
249	1322	3967
250	1327	3961
251	1332	3955
252	1337	3948
253	1341	3941
254	1346	3934
255	1352	3930
256	1357	3923
257	1361	3916
258	1366	3910
259	1371	3903
260	1376	3896
261	1381	3890
262	1385	3883
263	1390	3875
264	1394	3867
265	1400	3864
266	1404	3857
267	1409	3850
268	1414	3842
269	1420	3839
270	1425	3833
271	1429	3826
272	1434	3820
273	1439	3813
274	1443	3806
275	1448	3800
276	1452	3792
277	1457	3784
278	1462	3780
279	1468	3775
280	1473	3770
281	1478	3765
282	1483	3759
283	1489	3754
284	1495	3751
285	1501	3748
286	1507	3745
287	1513	3740
288	1518	3736
289	1523	3730
290	1528	3724
291	1534	3720
292	1540	3716
293	1547	3716
294	1553	3713
295	1559	3708
296	1565	3705
297	1572	3704
298	1578	3701
299	1584	3697
300	1590	3693
301	1596	3691
302	1603	3687
303	1608	3682
304	1615	3681
305	1621	3678
306	1627	3673
307	1633	3669
308	1638	3663
309	1643	3658
310	1649	3654
311	1654	3648
312	1660	3644
313	1665	3638
314	1670	3632
315	1675	3627
316	1681	3622
317	1685	3615
318	1691	3611
319	1697	3606
320	1701	3599
321	1706	3592
322	1712	3588
323	1719	3586
324	1724	3581
325	1729	3575
326	1734	3569
327	1740	3565
328	1744	3558
329	1749	3552
330	1755	3547
331	1760	3541
332	1765	3535
333	1770	3529
334	1775	3523
335	1779	3516
336	1784	3510
337	1789	3505
338	1794	3499
339	1800	3494
340	1805	3489
341	1810	3484
342	1816	3479
343	1821	3474
344	1826	3467
345	1831	3461
346	1836	3456
347	1842	3451
348	1847	3445
349	1852	3439
350	1857	3433
351	1861	3427
352	1866	3421
353	1871	3415
354	1876	3409
355	1881	3403
356	1887	3398
