Title,Occurence,Date,"Pay and Leave Holiday Date (if SAT, then FRI if SUN  then MON)",Month,Day,Year,WeekDay
New Year's Day,Year Start,1/1/2004,1/1/2004,1,1,2004,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/2004,1/19/2004,1,19,2004,2
Washington's Birthday,Third Monday in Feb,2/16/2004,2/16/2004,2,16,2004,2
Memorial Day,Last Monday in May,5/31/2004,5/31/2004,5,31,2004,2
Independence Day,Annual,7/4/2004,7/5/2004,7,4,2004,1
Labor Day,First Monday in Sept,9/6/2004,9/6/2004,9,6,2004,2
Columbus Day,Second Monday in Oct,10/11/2004,10/11/2004,10,11,2004,2
Veterans Day,Annual,11/11/2004,11/11/2004,11,11,2004,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/2004,11/25/2004,11,25,2004,5
Christmas Day,Annual,12/25/2004,12/24/2004,12,25,2004,7
New Year's Day,Year Start,1/1/2005,12/31/2004,1,1,2005,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/2005,1/17/2005,1,17,2005,2
Washington's Birthday,Third Monday in Feb,2/21/2005,2/21/2005,2,21,2005,2
Memorial Day,Last Monday in May,5/30/2005,5/30/2005,5,30,2005,2
Independence Day,Annual,7/4/2005,7/4/2005,7,4,2005,2
Labor Day,First Monday in Sept,9/5/2005,9/5/2005,9,5,2005,2
Columbus Day,Second Monday in Oct,10/10/2005,10/10/2005,10,10,2005,2
Veterans Day,Annual,11/11/2005,11/11/2005,11,11,2005,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/2005,11/24/2005,11,24,2005,5
Christmas Day,Annual,12/25/2005,12/26/2005,12,25,2005,1
New Year's Day,Year Start,1/1/2006,1/2/2006,1,1,2006,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/2006,1/16/2006,1,16,2006,2
Washington's Birthday,Third Monday in Feb,2/20/2006,2/20/2006,2,20,2006,2
Memorial Day,Last Monday in May,5/29/2006,5/29/2006,5,29,2006,2
Independence Day,Annual,7/4/2006,7/4/2006,7,4,2006,3
Labor Day,First Monday in Sept,9/4/2006,9/4/2006,9,4,2006,2
Columbus Day,Second Monday in Oct,10/9/2006,10/9/2006,10,9,2006,2
Veterans Day,Annual,11/11/2006,11/10/2006,11,11,2006,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/2006,11/23/2006,11,23,2006,5
Christmas Day,Annual,12/25/2006,12/25/2006,12,25,2006,2
New Year's Day,Year Start,1/1/2007,1/1/2007,1,1,2007,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/2007,1/15/2007,1,15,2007,2
Washington's Birthday,Third Monday in Feb,2/19/2007,2/19/2007,2,19,2007,2
Memorial Day,Last Monday in May,5/28/2007,5/28/2007,5,28,2007,2
Independence Day,Annual,7/4/2007,7/4/2007,7,4,2007,4
Labor Day,First Monday in Sept,9/3/2007,9/3/2007,9,3,2007,2
Columbus Day,Second Monday in Oct,10/8/2007,10/8/2007,10,8,2007,2
Veterans Day,Annual,11/11/2007,11/12/2007,11,11,2007,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/2007,11/22/2007,11,22,2007,5
